MGI Gene ID	Gene Symbol	Gene Name	Type	Chr	Genome Location-GRCm38	cM	Strand	
MGI:2448063	Lrrc10	leucine rich repeat containing 10	protein coding gene	10	117045341-117046768	65.06	+	
MGI:96922	Mb	myoglobin	protein coding gene	15	77015487-77050668	36.36	-	
MGI:97051	Mdh1	malate dehydrogenase 1, NAD (soluble)	protein coding gene	11	21556787-21572367	13.89	-	
MGI:106035	Mki67	antigen identified by monoclonal antibody Ki 67	protein coding gene	7	135689784-135716361	81.32	-	
MGI:1923786	Mmadhc	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	protein coding gene	2	50279881-50296801	28.92	-	
MGI:2142572	Mtus1	mitochondrial tumor suppressor 1	protein coding gene	8	40990918-41133726	23.89	-	
MGI:102844	Mybpc3	myosin binding protein C, cardiac	protein coding gene	2	91118144-91136516	50.44	+	
MGI:97255	Myh6	myosin, heavy polypeptide 6, cardiac muscle, alpha	protein coding gene	14	54941981-54966927	28.01	-	
MGI:2155600	Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta	protein coding gene	14	54970688-54994634	28.01	-	
MGI:97272	Myl2	myosin, light polypeptide 2, regulatory, cardiac, slow	protein coding gene	5	122100951-122113472	62.16	+	
MGI:97267	Myl4	myosin, light polypeptide 4	protein coding gene	11	104550663-104595753	67.79	+	
MGI:2138915	Myl9	myosin, light polypeptide 9, regulatory	protein coding gene	2	156775420-156781658	77.77	+	
MGI:1341430	Myom1	myomesin 1	protein coding gene	17	71019521-71126856	41.87	+	
MGI:1914523	Ndufa10	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	protein coding gene	1	92439010-92473860	46.4	-	
MGI:97350	Nkx2-5	NK2 homeobox 5	protein coding gene	17	26838664-26841565	13.6	-	
MGI:97368	Nppb	natriuretic peptide type B	protein coding gene	4	147985788-147987205	78.57	+	
MGI:109520	Pafah1b1	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1	protein coding gene	11	74673949-74724670	45.76	-	
MGI:1919583	Palld	palladin, cytoskeletal associated protein	protein coding gene	8	61511433-61902669	31.23	-	
MGI:1931144	Parva	parvin, alpha	protein coding gene	7	112427505-112591692	58.76	+	
MGI:1926119	Pdk1	pyruvate dehydrogenase kinase, isoenzyme 1	protein coding gene	2	71873224-71903858	42.84	+	
MGI:97622	Pln	phospholamban	protein coding gene	10	53337686-53345999	27.11	+	
MGI:1926321	Postn	periostin, osteoblast specific factor	protein coding gene	3	54361109-54391037	25.46	+	
MGI:1923392	Ppp1r14c	protein phosphatase 1, regulatory (inhibitor) subunit 14c	protein coding gene	10	3366150-3464975	2.06	+	
MGI:2442104	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha	protein coding gene	9	101105084-101251795	53.19	-	
MGI:104878	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	protein coding gene	11	109649405-109669656	72.33	+	
MGI:97830	Pygm	muscle glycogen phosphorylase	protein coding gene	19	6384399-6398459	4.53	+	
MGI:97837	Qk	quaking	protein coding gene	17	10206471-10319361	7.75	-	
MGI:3610364	Rbm24	RNA binding motif protein 24	protein coding gene	13	46418300-46431090	23.61	+	
MGI:1334446	Rbpms	RNA binding protein gene with multiple splicing	protein coding gene	8	33782643-33929863	20.85	-	
MGI:99685	Ryr2	ryanodine receptor 2, cardiac	protein coding gene	13	11553103-12106945	4.38	-	
MGI:99513	Sdpr	serum deprivation response	protein coding gene	1	51289126-51302960	26.13	+	
MGI:1335094	Sept7	septin 7	protein coding gene	9	25252439-25308571	10.25	+	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	protein coding gene	8	23411502-23449632	11.48	+	
MGI:107956	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1	protein coding gene	17	81388691-81649607	51.29	-	
MGI:104790	Smyd1	SET and MYND domain containing 1	protein coding gene	6	71213940-71322233	32.14	-	
MGI:1915889	Smyd2	SET and MYND domain containing 2	protein coding gene	1	189880492-189922363	95.03	-	
MGI:1924574	Sorbs2	sorbin and SH3 domain containing 2	protein coding gene	8	45507788-45827905	25.44	+	
MGI:98366	Sox4	SRY (sex determining region Y)-box 4	protein coding gene	13	28948919-28953713	12.87	-	
MGI:1919293	Sulf2	sulfatase 2	protein coding gene	2	166073089-166155663	86.31	-	
MGI:1916010	Synpo2l	synaptopodin 2-like	protein coding gene	14	20658946-20668354	11.53	-	
MGI:1915902	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2	protein coding gene	10	7905653-7956230	2.56	-	
MGI:1888496	Tbx20	T-box 20	protein coding gene	9	24720812-24774303	10.25	-	
MGI:1330233	Tcap	titin-cap	protein coding gene	11	98383811-98384953	61.75	+	
MGI:101876	Tead1	TEA domain family member 1	protein coding gene	7	112679318-112906807	58.8	+	
MGI:1345185	Tenm1	teneurin transmembrane protein 1	protein coding gene	X	42527866-43429126	23.21	-	
MGI:106920	Tmpo	thymopoietin	protein coding gene	10	91147571-91171582	45.66	-	
MGI:99510	Tmsb4x	thymosin, beta 4, X chromosome	protein coding gene	X	167207093-167209315	78.28	-	
MGI:104552	Tns1	tensin 1	protein coding gene	1	73910232-74124449	38.17	-	
MGI:98809	Tpm1	tropomyosin 1, alpha	protein coding gene	9	67022590-67049406	36.27	-	
MGI:98864	Ttn	titin	protein coding gene	2	76703980-76982547	45.13	-	
MGI:2145316	Txndc5	thioredoxin domain containing 5	protein coding gene	13	38500273-38528824	18.27	-	
